player_id,nationality,overall,age,hits
-3966940141042020762,Argentina,94,33,300
-1085890675728076976,Portugal,93,35,300
-1773780356424272866,Brazil,92,28,200
4602840258861814313,Netherlands,91,29,200
3333134659221416613,Slovenia,91,27,35
-8491212688388458027,Belgium,91,29,200
5322728493454995725,Poland,91,31,75
3031974760292741219,Belgium,91,29,75
-9075790512508905040,Brazil,90,27,75
1344863030609554812,Egypt,90,28,75
287300288656815781,Senegal,90,28,75
-5162519318861781939,Germany,90,28,75
-2777057748516267582,Argentina,90,32,75
403899459271162715,France,89,21,300
3113998199903199070,France,89,29,75
-8744381522854247624,England,89,27,75
-2286915744814633129,France,89,29,75
-1774844075397940232,Germany,89,30,35
-1088632623086580498,Croatia,89,34,35
-1549842760328120190,Uruguay,89,33,75
4350396038083533680,Germany,89,34,35
-653574882139207313,Spain,89,34,75
-1547988358626764409,Brazil,88,26,35
-952412513339460608,England,88,25,75
-7526232251178566839,Brazil,88,28,75
3568644227334454711,Senegal,88,29,75
-5671085750193872642,Brazil,88,28,35
-7602775052385993903,Spain,88,29,35
6363677757254915797,Belgium,88,28,35
4655734455207974694,Spain,88,32,35
1973517027531563650,Gabon,88,31,200
8092467397312445447,France,88,32,75
6359705160290343530,Slovenia,88,36,15
-6678313856116415784,Spain,88,33,35
8344567348706892633,Italy,88,35,15
9179628342301511890,Portugal,87,25,75
504207183684953944,Germany,87,25,75
5858164377407780330,France,87,26,35
-5976553477478331802,Argentina,87,26,75
-8247613309159980554,Korea Republic,87,28,75
8405547360966089242,Italy,87,27,35
-521592127267642247,France,87,27,75
-2617209091233426601,Costa Rica,87,33,35
-5329236837869717566,Italy,87,30,200
-7825065419791930331,Denmark,87,28,35
-223627597815159325,Spain,87,31,15
7375552313188348176,Germany,87,31,35
-7993925861322800828,Poland,87,30,15
6567500115437202307,Argentina,87,32,35
-2836959915135708132,Uruguay,87,34,15
3464948763862591403,Germany,87,31,15
7830048495839189261,Belgium,87,33,35
-4862589463678685293,Spain,87,34,35
6373375320609306066,France,87,33,15
-8363314604876657203,Brazil,87,35,35
7552346417569049151,England,86,20,300
8938506563596250485,Slovakia,86,25,75
2825621531777230589,Netherlands,86,23,200
6327350400279193207,Germany,86,24,75
294341850186300647,France,86,25,75
2486222986326067909,Scotland,86,26,75
2185992087995791080,Portugal,86,25,200
-3051132548469720728,Germany,86,24,200
388000066516216865,Brazil,86,26,35
-5325846201168372112,England,86,33,35
8853817565675241972,Morocco,86,27,200
3878939251280950799,Brazil,86,26,35
-4406777151347238412,Algeria,86,29,35
-1776896000056388544,France,86,27,35
-5687177796641005427,Argentina,86,27,35
3431375844364908148,Italy,86,29,35
764666451664253519,Spain,86,28,15
-466136772701541034,Belgium,86,27,75
-7542857147119653426,Spain,86,29,35
-2857452591857786109,Spain,86,31,35
7350191042099533399,Italy,86,33,15
-5719218036506757273,Belgium,86,31,15
2727764778799649106,Bosnia & Herzegovina,86,30,35
3900309423538717891,Uruguay,86,33,35
5422392417177553582,Switzerland,86,31,0
4030976007044673039,Argentina,86,32,35
-2085746869306503328,Netherlands,85,20,200
-7796840537197968450,Spain,85,24,35
3368158894421338580,England,85,21,200
-4697752826714454468,Brazil,85,23,75
45190445158280102,Italy,85,21,75
-1380944348132077583,Cameroon,85,24,75
3517332593020613426,Serbia,85,25,75
4596607131107724240,France,85,27,35
-5505366750931251137,Uruguay,85,25,35
-4282466369684883556,Germany,85,24,35
-6532737190284411278,Spain,85,25,35
4421816016354127465,Germany,85,25,75
-3754822493437336711,France,85,26,35
3546727922847358673,Spain,85,28,35
4695441962123590718,Spain,85,27,35
-3931876333712715766,Netherlands,85,28,15
-5439987397289552285,Portugal,85,30,15
-2150434313722041637,Spain,85,28,35
6243995116583145221,Spain,85,32,15
-5113389602333471714,Germany,85,28,35
-2649956928058012415,Germany,85,30,35
-3316502091030105993,Brazil,85,28,35
-3730282176802800855,Switzerland,85,29,15
-4323251201635557197,Brazil,85,32,35
7437621165986086286,Hungary,85,30,15
-7388517061129348840,England,85,30,35
-7507913126457530259,Netherlands,85,29,35
5409998634253294662,Belgium,85,31,35
-4321544163762629381,Wales,85,31,75
6739877607224774650,Belgium,85,33,35
9529055448574575,Croatia,85,32,35
3806259159208934391,Argentina,85,32,35
45922243082341449,Brazil,85,35,15
-757106607426577504,Sweden,85,38,200
2002874550582838166,Germany,84,21,200
60241570240503888,England,84,22,200
-3707721364174505675,Argentina,84,22,200
8936223580095530597,Nigeria,84,23,35
-6081787798833119336,France,84,24,35
-832172373618566817,France,84,24,75
899995505477637112,Brazil,84,27,35
2559270760897674067,Germany,84,24,75
-4214357778829600906,Portugal,84,26,35
-1203799978021521801,Ghana,84,27,35
4570414790408277852,Germany,84,25,75
2012196196933120572,Brazil,84,31,15
8283455212560700985,Croatia,84,26,35
-319648573042236888,Italy,84,28,35
-1227809927944892306,Netherlands,84,26,75
6032097668029978163,Slovenia,84,32,35
5090321171684596138,Brazil,84,29,15
1758229521073138916,Italy,84,32,15
-8045684551737925764,Portugal,84,29,0
-7049115206496693136,France,84,29,35
3788749726725173801,Colombia,84,29,35
123652527629097894,Brazil,84,31,15
-6509687546792028956,Senegal,84,30,35
7893761438281738962,France,84,29,35
3942675689735037225,Greece,84,29,15
7833459345687161954,Brazil,84,29,15
-7520207107076093304,Brazil,84,29,35
1505457879003065344,Spain,84,29,15
-1083487910421469057,Brazil,84,28,35
-8602205823155965267,Germany,84,29,15
7250512783100496847,Spain,84,33,15
8758254616873389685,Spain,84,30,35
4482391392565468731,Chile,84,33,75
-570704289123609788,Bosnia & Herzegovina,84,34,15
3723297715217439585,Argentina,84,32,15
1640381409666158960,Belgium,84,32,15
-8261923946921128207,Brazil,84,32,35
-5598482896432887998,Brazil,84,33,15
1435001551371487578,France,84,33,35
6496854982262098152,Italy,84,33,15
1795174916587093430,Portugal,84,33,15
1805547999826962862,France,83,23,75
8546402198613351961,Brazil,83,28,35
-2396338480169505039,Brazil,83,28,15
-6200126799498161467,Brazil,83,28,15
-1405447618276598486,Spain,83,23,35
6736955951604203523,Spain,83,24,35
-4009889274775151344,Netherlands,83,23,75
5957526820465454289,Spain,83,25,15
-731961115023203448,Togo,83,28,15
1478985964613249040,Portugal,83,27,15
-218883240858075736,Croatia,83,29,15
8977550113358283379,Croatia,83,27,15
8595686597436374375,Colombia,83,29,35
-139583657220577733,Brazil,83,26,35
-1645078278560841680,lbania,83,25,15
3889490041744524631,France,83,24,75
-8228173794436736070,Argentina,83,27,35
7433273356837092193,England,83,24,75
-7955578253165240346,Italy,83,25,35
1385901636026990683,Spain,83,24,35
5132476122566664191,Portugal,83,26,35
5563232405860505255,Netherlands,83,28,35
-4179588472576018347,Serbia,83,27,15
6302421354371252361,Belgium,83,26,35
5233454966980772495,Spain,83,25,75
12502881857014119,Bosnia & Herzegovina,83,30,15
5140786260758390507,Poland,83,26,35
-5329162585043229800,Spain,83,28,15
-297928628003907503,France,83,27,15
-8738487114548669615,Austria,83,26,35
-1003076020735927166,Mexico,83,29,75
5127183322903682924,Montenegro,83,29,15
-8745697139110284928,Belgium,83,27,35
8233070523327922621,England,83,27,35
2396988778982831562,Brazil,83,29,15
1256146060751742001,Spain,83,27,15
4293379933293278913,France,83,27,15
-3853153548617551477,Serbia,83,31,15
5962989095811063017,Chile,83,31,15
-6702591702503191712,Spain,83,28,35
-1984709100702085187,Ivory Coast,83,27,75
1221483049984907183,Spain,83,29,15
2089681979028899638,Spain,83,29,15
-8926314262267490589,Austria,83,28,35
8865859228130204235,Cameroon,83,28,15
906117744326872256,Colombia,83,32,35
-8063806991834698449,Belgium,83,28,0
6299681907299713295,Finland,83,30,15
8497851450904733374,Netherlands,83,30,35
8743254335222877686,Spain,83,27,15
-8044308375392671133,Germany,83,30,15
3588800219158715349,England,83,30,35
-5035469408766709614,Wales,83,29,15
7474871899305491489,Austria,83,31,15
833082352526354814,Germany,83,32,0
-3319918340487676889,Croatia,83,31,15
2935591516824619462,Germany,83,33,15
-291963163247606120,Portugal,83,32,15
6315465333679895857,Germany,83,31,35
-2359847382699645579,Slovakia,83,33,15
-4843401312953262588,Argentina,83,33,0
-6784082620645894126,Mexico,83,31,35
7315575376749264927,France,83,35,0
-5381378282899793093,Denmark,83,33,35
-1684814012635386928,Spain,83,34,15
-4965881778401504499,Spain,83,35,35
-4709211104854603719,Italy,83,42,75
8022039248391246498,Uruguay,82,28,15
7568975682647957946,Uruguay,82,28,15
-2051623018686197949,Portugal,82,23,35
-6405448210665328710,Uruguay,82,22,75
-5861503131789352692,Czech Republic,82,28,0
-1267770508251397818,Morocco,82,21,75
-8056362387714862168,Serbia,82,22,35
2931038547161677503,Brazil,82,23,35
8399290642248313388,Brazil,82,28,35
4735561540322322600,Brazil,82,24,15
6092875735666956743,Brazil,82,20,15
4145466379987330631,Brazil,82,24,15
-6174603266319859123,Brazil,82,32,0
-6142193256481110017,England,82,22,75
-3683010588636569828,Switzerland,82,23,35
9035828662381047953,Portugal,82,26,75
7250497353243672220,Argentina,82,24,35
2833630917102976781,Ivory Coast,82,25,75
3765408121950135647,Netherlands,82,22,35
3462037793454579605,France,82,24,35
5960612200987818971,England,82,23,75
2115950908453396788,Portugal,82,23,35
-1457152946424307137,Argentina,82,28,15
1822606596883779634,Portugal,82,23,35
-4960294262530358289,Spain,82,27,0
-5773479180252045858,Norway,82,21,75
5847226674635330587,Guinea,82,25,35
373939452063730576,Spain,82,24,35
-1576654786427713734,Colombia,82,24,35
-2197482764048970900,England,82,23,75
-3506380499394030216,Slovakia,82,31,0
-1335835772166171010,France,82,25,35
-809454327023305153,Italy,82,26,35
-1853495011555860032,Spain,82,26,35
-2687690743430861620,France,82,25,15
3130699846966121399,Argentina,82,25,35
9066302971466786664,France,82,24,35
3030438612274585062,France,82,24,35
1110420736905904058,Portugal,82,26,35
6608988266155437097,France,82,25,35
4129476133824836294,Spain,82,28,0
-9128597526380730799,Italy,82,26,35
-7359720585230357825,Germany,82,26,35
8930341506387651369,Spain,82,28,15
8974910732344047838,Venezuela,82,27,35
5817785461406783209,Germany,82,26,35
1970640463733918976,Portugal,82,28,15
7652947363437005471,France,82,26,15
2724232314333222519,Germany,82,27,35
1623439944549135372,Germany,82,30,0
-4102146826797515051,Germany,82,26,35
-641980218923261473,Brazil,82,27,15
9007688801140011550,Brazil,82,27,35
7062125461645028467,Portugal,82,28,15
-5596953708274318504,Spain,82,30,15
-9177063051516495757,Germany,82,27,15
-7782852528774357054,Spain,82,26,15
2742130563964500664,Netherlands,82,31,15
5522161483237337705,Spain,82,28,35
1290375475145944876,DR Congo,82,29,15
3151985795998931980,Italy,82,27,15
-80673863422806070,Brazil,82,28,0
-6645178757216181107,Germany,82,30,0
2627206187829067885,Russia,82,29,15
5301201108746448295,Denmark,82,28,15
2719577343392086489,Mexico,82,27,35
4980553536097514892,France,82,27,15
2327339753194194979,Spain,82,30,0
4323534400987029944,Brazil,82,32,15
-6994253547011612130,Serbia,82,34,15
7428391438230209308,Brazil,82,33,15
-5891217586605160269,Uruguay,82,34,15
8803341405014065722,Brazil,82,31,75
-246572512097986077,Spain,82,31,35
818958542262751252,Spain,82,31,0
-6448468518618016855,Spain,82,31,15
-729507138668525711,France,82,33,15
3016223922635545148,Spain,82,33,0
1343649439544746806,Brazil,82,32,15
-27696760931159092,Brazil,82,35,0
-2362538013314012222,France,82,33,0
-7458721113422907594,Colombia,82,34,35
-6198407880557986781,France,82,37,35
5689628461606028961,Mexico,82,30,15
3075601042938974436,Spain,82,34,15
6713098556075495690,Belgium,82,34,15
-1252181584025511806,Portugal,82,37,15
-9108351699770660586,Spain,82,36,75
-2226187774948730063,Ecuador,81,31,0
6043378585243468067,Uruguay,81,28,0
-1404163237744918538,Uruguay,81,32,0
4828735119734704794,Uruguay,81,36,0
-7638856852791954558,Spain,81,26,0
6370958618702300993,Brazil,81,22,35
-8754844589224428571,Uruguay,81,23,15
-4213514755646369643,Czech Republic,81,25,15
-8065857634463014448,Brazil,81,23,35
3872981688101623897,Italy,81,26,15
-6065767736629750461,France,81,22,75
5936329711455486028,Brazil,81,23,35
-4845079315864334863,Brazil,81,20,35
-7305435687320840736,Brazil,81,32,0
4589285226230358704,Brazil,81,20,15
155445733691839053,England,81,23,35
3999784656896376333,Jamaica,81,22,35
3131283163010737434,Spain,81,25,35
-4710387458924241732,France,81,25,35
3388463332571464606,Mali,81,29,15
8881536066358912556,Spain,81,25,35
2860261973967595673,Spain,81,27,15
-4808579903491767373,Uruguay,81,24,35
-2241271644781263264,Netherlands,81,27,0
-5630546817910391477,Spain,81,23,35
5281616967694079127,Germany,81,24,35
498781935867352608,Sweden,81,26,35
7110160075953666996,Spain,81,33,15
-5908467934861279460,Belgium,81,23,35
4806078727487266038,Argentina,81,30,0
7731281462979273341,Argentina,81,25,35
6364289642253029095,Argentina,81,28,15
1376053123517137302,Germany,81,24,35
-9134702628761532314,Portugal,81,27,15
-2038031701619690130,Italy,81,26,35
-1529557285255175854,Greece,81,26,15
-8772990435367686241,Germany,81,27,15
-6716552453748485548,Spain,81,25,15
-5787084970880996807,Italy,81,26,35
8860090841787375515,Germany,81,28,15
5558772975481899473,Poland,81,26,15
-4945200644298552257,Sweden,81,28,15
1935411572921536807,Argentina,81,29,15
8315356817569317365,Italy,81,26,15
3209835948819202240,Spain,81,27,35
2425935818087070569,England,81,26,15
3830541976813918570,Spain,81,29,15
281767133294742877,Israel,81,33,0
234363030068773341,France,81,25,75
-5878405354230796977,Czech Republic,81,31,0
-6900747254590608706,England,81,26,35
1324830260145441507,Italy,81,29,15
-6978224210500021045,Spain,81,26,15
-1014024439346458572,France,81,27,15
6934103124626803500,Spain,81,26,35
-2237883925488207305,Belgium,81,28,35
-1813565599529625866,Austria,81,27,0
1366284649463539494,Central African Rep.,81,27,15
5506946238824806802,Brazil,81,27,35
-5653401296053929710,Argentina,81,32,0
4432366229731459740,France,81,29,15
-1561036081581876730,Netherlands,81,28,0
5237320145711427091,Spain,81,31,15
8622365292872908631,Uruguay,81,29,0
-2493168963571997517,Slovenia,81,29,15
1678649556338167761,Switzerland,81,28,15
-5934505821861384318,Ermenia,81,31,35
-8807059517634230112,Spain,81,29,35
8120632844794785533,Spain,81,30,15
-2575830570419103979,Argentina,81,30,15
2646682967228432466,Italy,81,27,35
-3105287415274666869,Serbia,81,28,0
8256236928030485234,England,81,30,35
-8376201537413086043,Netherlands,81,29,15
5108433323045947718,Italy,81,30,15
-5648696913165727034,Cameroon,81,30,0
-4041300501591458701,Ukraine,81,32,0
-5475264210545139567,Italy,81,29,35
-4889381113002323739,England,81,29,15
1530578527797364794,Brazil,81,33,0
-5569562370497661708,Brazil,81,30,0
-1436739639635845219,Chile,81,31,35
-4659647604238544762,Italy,81,33,15
-5936702576295109832,Germany,81,31,15
4960739427780645883,Spain,81,30,15
5019369492002196271,Brazil,81,33,35
-2539635374822319967,Denmark,81,31,35
3118811748152342024,Spain,81,33,15
1535338408839113388,Germany,81,31,15
7775745305233592356,Germany,81,31,0
-7548458327133695194,Belgium,81,32,0
6452822442861631405,Greece,81,32,15
2879526743210224670,France,81,34,15
-3443640692061545378,Poland,81,35,15
-1541952503349792020,Italy,81,33,0
-9181289505822281719,Italy,81,37,0
-2841281874214284082,France,81,34,15
3153801588394241219,France,81,34,15
-2373375127835934558,England,81,34,35
-5759305563421778158,Norway,81,35,0
-5003651709339978252,Uruguay,80,32,0
-2568956564334625535,Uruguay,80,36,0
-352823903015265560,Uruguay,80,32,0
7875285280404172493,Spain,80,23,35
-2172849457725041485,Brazil,80,25,35
-3159454302565472631,Ukraine,80,22,15
1911587411706325938,Spain,80,22,35
-8119426517363107975,Portugal,80,20,200
-9164371547429791834,Croatia,80,25,15
4164057984476445942,Norway,80,20,300
4360275165160056918,Spain,80,22,15
-8897725392945192707,France,80,23,35
4318001773726166955,Spain,80,23,15
5228702595243458369,Brazil,80,23,15
-6932739161719865911,France,80,22,35
