player_id,nationality,overall,age,hits
4232115995829434827,Bosnia & Herzegovina,84,35,15
6776235192629341450,Argentina,84,35,15
2831083837711920657,Belgium,84,35,15
-7008608271938389006,Brazil,84,35,35
4971190878978369788,Brazil,84,35,15
5071700789922380601,France,84,35,35
7381223616700945615,Italy,84,35,15
8389528499411239098,Portugal,84,35,15
-9217799267520087073,France,83,25,75
-3069594606086028496,Brazil,83,25,35
6938483496140133997,Brazil,83,25,15
6382991252497430065,Brazil,83,25,15
2074015189923009866,Spain,83,25,35
-2427625229415413908,Spain,83,25,35
7203952487571519757,Netherlands,83,25,75
5853241997815891383,Spain,83,25,15
-7117964612328893674,Togo,83,25,15
167161138623756414,Portugal,83,25,15
-7201108446430811588,Croatia,83,25,15
-8223772031055698774,Croatia,83,25,15
-8255874016950880713,Colombia,83,25,35
-7138550673469120442,Brazil,83,25,35
-86087656825576628,lbania,83,25,15
-8622318626682773469,France,83,25,75
6965386500606710092,Argentina,83,25,35
-2291223630119791126,England,83,25,75
2297237697900078384,Italy,83,25,35
4387286588728879310,Spain,83,25,35
1373829131512848129,Portugal,83,25,35
-4180075073743378749,Netherlands,83,25,35
3767042078065807650,Serbia,83,25,15
-5963666584207053477,Belgium,83,25,35
-4667166556027799073,Spain,83,25,75
951982135842084149,Bosnia & Herzegovina,83,35,15
1581090684418590789,Poland,83,25,35
5029687273704077412,Spain,83,25,15
4210187917294925839,France,83,25,15
-6191128397886488297,Austria,83,25,35
-5591866956823748959,Mexico,83,25,75
4522669925643876375,Montenegro,83,25,15
-6525331030849938781,Belgium,83,25,35
-1984918132163426667,England,83,25,35
9213886264144655272,Brazil,83,25,15
4802157593129728733,Spain,83,25,15
7495653990351085015,France,83,25,15
7111733943616457548,Serbia,83,35,15
-7782951505808546046,Chile,83,35,15
746036157662885902,Spain,83,25,35
3149084461339421464,Ivory Coast,83,25,75
4487718376945363177,Spain,83,25,15
3823447181145076430,Spain,83,25,15
-7966359018391768547,Austria,83,25,35
5133880165967887249,Cameroon,83,25,15
-4573408475078379689,Colombia,83,35,35
8669054301519558325,Belgium,83,25,0
1002285461537403984,Finland,83,35,15
-1940616983551751876,Netherlands,83,35,35
6950776474758047656,Spain,83,25,15
-6326279074352646451,Germany,83,35,15
-3154266076146467952,England,83,35,35
-9081242978453705475,Wales,83,25,15
2198815607012831989,Austria,83,35,15
-3681683398734920859,Germany,83,35,0
-3281944838913461584,Croatia,83,35,15
-7981014507668777132,Germany,83,35,15
5040428427086124540,Portugal,83,35,15
-283024054715553379,Germany,83,35,35
-1652637129147660353,Slovakia,83,35,15
5344145098600619848,Argentina,83,35,0
814544584815554073,Mexico,83,35,35
564338290445520032,France,83,35,0
6923452654042605572,Denmark,83,35,35
3358398166180610094,Spain,83,35,15
-685531934015046262,Spain,83,35,35
-6319500853806554323,Italy,83,42,75
5131401728453879321,Uruguay,82,25,15
8633006313169827603,Uruguay,82,25,15
-8070164806718851822,Portugal,82,25,35
8397387002718288171,Uruguay,82,25,75
-5349190748839958798,Czech Republic,82,25,0
-7324420520517663963,Morocco,82,25,75
6123267541230797764,Serbia,82,25,35
6021644016759196785,Brazil,82,25,35
340186909313684261,Brazil,82,25,35
8167716442630994496,Brazil,82,25,15
-797512416696094965,Brazil,82,20,15
-7080686566976419547,Brazil,82,25,15
392159462316152661,Brazil,82,35,0
2882373401009830253,England,82,25,75
-5671658368100097436,Switzerland,82,25,35
8339813847743812838,Portugal,82,25,75
-8102753447927775982,Argentina,82,25,35
6602742899422606674,Ivory Coast,82,25,75
4928562665239923589,Netherlands,82,25,35
1015823916756651442,France,82,25,35
-2219243881435176023,England,82,25,75
1336167310564639995,Portugal,82,25,35
-7352517492591334411,Argentina,82,25,15
-6324034756288658898,Portugal,82,25,35
-7013170441867321824,Spain,82,25,0
-7272513308981862374,Norway,82,25,75
-2466061499614410177,Guinea,82,25,35
-4430249874072076587,Spain,82,25,35
45458428194339351,Colombia,82,25,35
-2261655814295717907,England,82,25,75
-756600048173805166,Slovakia,82,35,0
5743874241628133740,France,82,25,35
7825405884645726000,Italy,82,25,35
-2299665287762031396,Spain,82,25,35
8880667099446295398,France,82,25,15
217940051506089370,Argentina,82,25,35
8584285661751826448,France,82,25,35
